note_id,type,title,desc,time,last_update_time,user_id,nickname,ip_location,tag_list,note_url,source_keyword,creation_date,creation_time,creation_year_month,time_diff,content_edit,tags,liked_count_parsed,collected_count_parsed,comment_count_parsed,share_count_parsed,ip_location_grouped,post_type,comment_like_ratio
67c27a66000000000603d771,video,是谁的卡册来了,"给大家准备的福福来啦
﻿#恋与深空[话题]#﻿ ﻿#拆卡[话题]#﻿ ﻿#二创[话题]#﻿ ﻿#沈星回[话题]#﻿ ﻿#黎深[话题]#﻿ ﻿#祁煜[话题]#﻿ ﻿#秦彻[话题]#﻿ ﻿#夏以昼[话题]#﻿ ﻿#卡册[话题]#﻿",2025-03-01 03:09:26,2025-03-01 03:09:27,666c6100000000000d026ec1,芝士塔爱拆卡,河北,"恋与深空,拆卡,二创,沈星回,黎深,祁煜,秦彻,夏以昼,卡册",https://www.xiaohongshu.com/explore/67c27a66000000000603d771?xsec_token=ABVLOM-EdRyjzTq-CTRHisAijIbuC72NfAPE0tj4BMt8k=&xsec_source=pc_search,夏以昼,2025-03-01,03:09:26,2025-03,0 days 00:00:01,False,"['恋与深空', '拆卡', '二创', '沈星回', '黎深', '祁煜', '秦彻', '夏以昼', '卡册']",0,0,0,0,河北,General Post,
67c27a45000000002903da90,normal,"哇塞，这就是你们温良哥推吗，说不过就开始举报了
#沈星回[话题]#  #夏以昼的女人是小偷[话题]# #夏以昼的女人不读书[话题]# #夏以昼的女人吃拼好饭中毒[话题]#","哇塞，这就是你们温良哥推吗，说不过就开始举报了
#沈星回[话题]#  #夏以昼的女人是小偷[话题]# #夏以昼的女人不读书[话题]# #夏以昼的女人吃拼好饭中毒[话题]#",2025-03-01 03:08:53,2025-03-01 03:08:53,60587996000000000101f0c5,沈珏,江苏,"沈星回,夏以昼的女人是小偷,夏以昼的女人不读书,夏以昼的女人吃拼好饭中毒",https://www.xiaohongshu.com/explore/67c27a45000000002903da90?xsec_token=ABVLOM-EdRyjzTq-CTRHisApCjW0wPtJISwsUbG3QDuuU=&xsec_source=pc_search,夏以昼,2025-03-01,03:08:53,2025-03,0 days 00:00:00,False,"['沈星回', '夏以昼的女人是小偷', '夏以昼的女人不读书', '夏以昼的女人吃拼好饭中毒']",0,0,0,0,江苏,General Post,
67c27a2c0000000006028cc9,normal,就这么和夏以昼叱咤风云😼,"过了两年，妹也偷偷去参加了比武大会，各家很快就认出来妹用的招式是夏以昼的影子
妹和哥一样默默地拿了个第一，也是答谢了各家的邀请，回家等着哥做饭吃，在回来的路上还做了个好人好事，帮隔壁家逮住了乱跑的鸡被邻居大妈大肆表扬第一就是不一样，做啥事都利索的，妹让大妈嘘声，毕竟自己是偷偷跑去的
回去看到哥果然做好饭了，看着妹偷偷摸摸的样子笑出声来：“我们家比武大会的第一在这里偷偷摸摸做什么呢？快去洗吃手来吃饭。”
“我早就知道你去比赛了，我们家小冠军最厉害了。”
“都是你教的。”
“那我就更厉害了。”听完夏以昼说的话，妹不服气又的拿水去滋他，夏以昼笑嘻嘻的说，“错了错了，妹妹最厉害，妹妹是全天下第一厉害的。”#恋与深空夏以昼[话题]# #夏以昼[话题]# #恋与深空[话题]#",2025-03-01 03:08:28,2025-03-01 03:08:29,632510f2000000002303c666,下一周有下雨天,广西,"恋与深空夏以昼,夏以昼,恋与深空",https://www.xiaohongshu.com/explore/67c27a2c0000000006028cc9?xsec_token=ABVLOM-EdRyjzTq-CTRHisAv4fqr6PB1odEnJgcrh5a4Q=&xsec_source=pc_search,夏以昼,2025-03-01,03:08:28,2025-03,0 days 00:00:01,False,"['恋与深空夏以昼', '夏以昼', '恋与深空']",0,0,0,0,广西,Caleb Post,
67c2783b000000000602822a,normal,模仿夏以昼签名被抓,#恋与深空夏以昼[话题]# #夏以昼[话题]# #talkmaker[话题]#,2025-03-01 03:00:11,2025-03-01 03:00:12,66067a58000000000d025499,商秋宴,湖北,"恋与深空夏以昼,夏以昼,talkmaker",https://www.xiaohongshu.com/explore/67c2783b000000000602822a?xsec_token=ABVLOM-EdRyjzTq-CTRHisAlZE1SQe6_FmryFtXTXCtuQ=&xsec_source=pc_search,夏以昼,2025-03-01,03:00:11,2025-03,0 days 00:00:01,False,"['恋与深空夏以昼', '夏以昼', 'talkmaker']",12,1,4,1,湖北,Caleb Post,0.3333333333333333
67c275e8000000002602dfc2,normal,DeepSeek造福人类[色色R]终于说出来了，夏以昼你不是胆小鬼#恋与深空夏以昼[话题]#,DeepSeek造福人类[色色R]终于说出来了，夏以昼你不是胆小鬼#恋与深空夏以昼[话题]#,2025-03-01 02:50:16,2025-03-01 02:58:17,5fb658300000000001005cb4,圈圈,北京,恋与深空夏以昼,https://www.xiaohongshu.com/explore/67c275e8000000002602dfc2?xsec_token=ABVLOM-EdRyjzTq-CTRHisAhBTjTtlYrB_ztEHG20whY8=&xsec_source=pc_search,夏以昼,2025-03-01,02:50:16,2025-03,0 days 00:08:01,False,['恋与深空夏以昼'],0,0,0,0,北京,Caleb Post,
67c260da000000002803d668,video,酷帅酷帅的哥哥夏以昼！,#恋与深空[话题]##夏以昼[话题]##军装[话题]##立牌[话题]##吧唧[话题]##徽章[话题]#,2025-03-01 01:20:26,2025-03-01 02:55:14,6640d9e500000000030333cb,kksjw,广东,"恋与深空,夏以昼,军装,立牌,吧唧,徽章",https://www.xiaohongshu.com/explore/67c260da000000002803d668?xsec_token=ABVLOM-EdRyjzTq-CTRHisApNjOrz4YXx6K0SeZOT_9DE=&xsec_source=pc_search,夏以昼,2025-03-01,01:20:26,2025-03,0 days 01:34:48,True,"['恋与深空', '夏以昼', '军装', '立牌', '吧唧', '徽章']",14,1,0,1,广东,Caleb Post,0.0
67c276c00000000003029d5c,normal,夏以昼混蛋🍎,#夏以昼[话题]##同人文[话题]# #夏以昼x你[话题]# #伪骨科[话题]# #夏以昼想你了[话题]#,2025-03-01 02:53:52,2025-03-01 02:53:52,66239a7a0000000007006f67,以昼厨,四川,"夏以昼,同人文,夏以昼x你,伪骨科,夏以昼想你了",https://www.xiaohongshu.com/explore/67c276c00000000003029d5c?xsec_token=ABVLOM-EdRyjzTq-CTRHisAm1_DeWvcL4otS9DZxkVZuM=&xsec_source=pc_search,夏以昼,2025-03-01,02:53:52,2025-03,0 days 00:00:00,False,"['夏以昼', '同人文', '夏以昼x你', '伪骨科', '夏以昼想你了']",14,2,6,0,四川,Caleb Post,0.42857142857142855
67c27678000000000d0161a7,normal,夏以昼泥药剂吧干啥😡,#猎奇穿搭[话题]# #恋与深空[话题]# #夏以昼[话题]# #没眼看[话题]#,2025-03-01 02:52:40,2025-03-01 02:52:40,65d76670000000000401f1f9,小钕骸,山东,"猎奇穿搭,恋与深空,夏以昼,没眼看",https://www.xiaohongshu.com/explore/67c27678000000000d0161a7?xsec_token=ABVLOM-EdRyjzTq-CTRHisAsJqLENGThhrF5DZR77rdAM=&xsec_source=pc_search,夏以昼,2025-03-01,02:52:40,2025-03,0 days 00:00:00,False,"['猎奇穿搭', '恋与深空', '夏以昼', '没眼看']",4,0,1,0,山东,Caleb Post,0.25
67c275de000000000b01439c,normal,"#夏以昼[话题]#
#夏以昼推爱倒打一耙[话题]#
#夏以昼推是惯偷[话题]#
#夏以昼推乙🦐一[话题]#
#夏以昼推疯了[话题]#
#深空226事变[话题]#
#夏以昼推先偷东西然后屠广场[话题]#
#夏以昼推首创在他人正向热搜犯贱[话题]#
#夏以昼推回去读书[话题]#","#夏以昼[话题]#
#夏以昼推爱倒打一耙[话题]#
#夏以昼推是惯偷[话题]#
#夏以昼推乙🦐一[话题]#
#夏以昼推疯了[话题]#
#深空226事变[话题]#
#夏以昼推先偷东西然后屠广场[话题]#
#夏以昼推首创在他人正向热搜犯贱[话题]#
#夏以昼推回去读书[话题]#",2025-03-01 02:50:06,2025-03-01 02:50:07,652e92e0000000002a028e56,沈星回的小狗,上海,"夏以昼,夏以昼推爱倒打一耙,夏以昼推是惯偷,夏以昼推乙🦐一,夏以昼推疯了,深空226事变,夏以昼推先偷东西然后屠广场,夏以昼推首创在他人正向热搜犯贱,夏以昼推回去读书",https://www.xiaohongshu.com/explore/67c275de000000000b01439c?xsec_token=ABVLOM-EdRyjzTq-CTRHisAtT3UH204qDiwyVOxiSwGko=&xsec_source=pc_search,夏以昼,2025-03-01,02:50:06,2025-03,0 days 00:00:01,False,"['夏以昼', '夏以昼推爱倒打一耙', '夏以昼推是惯偷', '夏以昼推乙🦐一', '夏以昼推疯了', '深空226事变', '夏以昼推先偷东西然后屠广场', '夏以昼推首创在他人正向热搜犯贱', '夏以昼推回去读书']",7,0,5,0,上海,Caleb Post,0.7142857142857143
67c27591000000000b014222,video,欢迎回家，夏以昼,#恋与深空夏以昼[话题]# #夏以昼[话题]# #夏以昼回航[话题]#,2025-03-01 02:48:49,2025-03-01 02:48:49,5c943022000000001203f24c,虾薏粥,黑龙江,"恋与深空夏以昼,夏以昼,夏以昼回航",https://www.xiaohongshu.com/explore/67c27591000000000b014222?xsec_token=ABVLOM-EdRyjzTq-CTRHisAoWPY-KUwzdXuBNH7okRK7c=&xsec_source=pc_search,夏以昼,2025-03-01,02:48:49,2025-03,0 days 00:00:00,False,"['恋与深空夏以昼', '夏以昼', '夏以昼回航']",12,1,0,0,黑龙江,Caleb Post,0.0
